# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 42
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: Hou
# Data supplier: piet Langeland
# Location name: hos Allan
# Position (lat, lon, elev(m)): 55.1599647718415, 10.9471711248898, 0
# Local timezone: CET
# Time Synchronization: 
# Moving / Stationary position: 
# Moving / Fixed look direction: 
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 7107
# SQM hardware identity: B003BNCH
# SQM firmware version: 4-6-82
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000006,00000082,00007107
# SQM readout test rx (Reading): r, 00.00m,0000558983Hz,0000000000c,0000000.000s, 029.6C
# SQM readout test cx (Calibration): c,00000019.94m,0000196.912s, 018.0C,00000008.71m, 018.0C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 0
# DL retrieved at (UTC): 2024-09-05T10:48:51.973
# DL trigger seconds : 5
# DL trigger minutes : 5
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.344
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2024-06-19T11:02:16.000;2024-06-19T13:02:16.000;17.0;4.99;6.73;0
2024-06-19T11:12:51.000;2024-06-19T13:12:51.000;19.0;4.99;6.45;1
2024-06-19T11:17:05.000;2024-06-19T13:17:05.000;17.4;4.99;6.51;1
2024-06-19T11:21:18.000;2024-06-19T13:21:18.000;17.4;4.88;6.64;0
2024-06-19T11:26:05.000;2024-06-19T13:26:05.000;17.4;4.88;9.67;1
2024-06-19T11:31:05.000;2024-06-19T13:31:05.000;17.0;4.88;9.77;1
2024-06-19T11:36:05.000;2024-06-19T13:36:05.000;16.7;4.88;7.69;1
2024-06-19T11:41:05.000;2024-06-19T13:41:05.000;16.7;4.88;6.65;1
2024-06-19T11:46:05.000;2024-06-19T13:46:05.000;16.4;4.88;6.77;1
2024-06-19T11:51:05.000;2024-06-19T13:51:05.000;16.7;4.88;6.93;1
2024-06-19T11:56:05.000;2024-06-19T13:56:05.000;16.7;4.88;8.09;1
2024-06-19T12:01:05.000;2024-06-19T14:01:05.000;17.0;4.88;7.79;1
2024-06-19T12:06:05.000;2024-06-19T14:06:05.000;17.0;4.88;6.54;1
2024-06-19T12:11:05.000;2024-06-19T14:11:05.000;17.0;4.88;6.23;1
2024-06-19T12:16:05.000;2024-06-19T14:16:05.000;17.4;4.88;13.51;1
2024-06-19T12:21:05.000;2024-06-19T14:21:05.000;17.7;4.88;11.13;1
2024-06-19T12:26:05.000;2024-06-19T14:26:05.000;18.0;4.88;10.52;1
2024-06-19T12:31:05.000;2024-06-19T14:31:05.000;18.3;4.88;9.96;1
2024-06-19T12:36:05.000;2024-06-19T14:36:05.000;18.3;4.88;11.37;1
2024-06-19T12:41:05.000;2024-06-19T14:41:05.000;18.6;4.88;11.25;1
2024-06-19T12:46:05.000;2024-06-19T14:46:05.000;18.6;4.88;10.19;1
2024-06-19T12:51:05.000;2024-06-19T14:51:05.000;19.0;4.88;11.45;1
2024-06-19T12:56:05.000;2024-06-19T14:56:05.000;19.0;4.88;10.69;1
2024-06-19T13:01:05.000;2024-06-19T15:01:05.000;19.0;4.88;10.64;1
2024-06-19T13:06:05.000;2024-06-19T15:06:05.000;19.3;4.88;10.49;1
2024-06-19T13:11:05.000;2024-06-19T15:11:05.000;19.3;4.88;11.51;1
2024-06-19T13:16:05.000;2024-06-19T15:16:05.000;19.3;4.88;10.73;1
2024-06-19T13:21:05.000;2024-06-19T15:21:05.000;19.3;4.88;9.75;1
2024-06-19T13:26:05.000;2024-06-19T15:26:05.000;19.6;4.88;11.45;1
2024-06-19T13:31:05.000;2024-06-19T15:31:05.000;19.6;4.88;9.75;1
2024-06-19T13:36:05.000;2024-06-19T15:36:05.000;19.6;4.88;10.32;1
