# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: 
# Data supplier: DSL
# Location name: Calendula
# Position (lat, lon, elev(m)): 
# Local timezone: CET
# Time Synchronization: 
# Moving / Stationary position: 
# Moving / Fixed look direction: 
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 7108
# SQM hardware identity: 003BNCK
# SQM firmware version: 4-6-82
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000006,00000082,00007108
# SQM readout test rx (Reading): r, 07.29m,0000110536Hz,0000000000c,0000000.000s, 018.3C
# SQM readout test cx (Calibration): c,00000019.89m,0000251.980s, 018.6C,00000008.71m, 017.7C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 19
# DL retrieved at (UTC): 2025-03-08T10:15:26.504
# DL trigger mode : Every x minutes (power save mode)
# DL trigger seconds : 0
# DL trigger minutes : 5
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.358
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2024-06-06T14:32:44.000;2024-06-06T16:32:44.000;24.4;5.01;7.67;0
2024-06-06T14:35:05.000;2024-06-06T16:35:05.000;23.2;5.01;7.55;1
2024-06-06T14:40:05.000;2024-06-06T16:40:05.000;23.2;5.01;7.71;1
2024-06-06T14:45:05.000;2024-06-06T16:45:05.000;23.2;5.01;7.82;1
2024-06-06T14:52:07.000;2024-06-06T16:52:07.000;23.5;5.01;7.43;1
2024-06-06T14:58:37.000;2024-06-06T16:58:37.000;24.1;5.01;8.36;1
2024-06-06T15:00:05.000;2024-06-06T17:00:05.000;23.5;5.01;8.33;1
2024-06-06T15:05:05.000;2024-06-06T17:05:05.000;23.2;5.01;8.07;1
2024-06-06T15:10:05.000;2024-06-06T17:10:05.000;22.8;5.01;8.06;1
2024-06-06T15:17:04.000;2024-06-06T17:17:04.000;24.1;5.01;8.39;1
2024-06-06T15:20:05.000;2024-06-06T17:20:05.000;23.2;5.01;8.43;1
2024-06-06T15:25:05.000;2024-06-06T17:25:05.000;23.2;5.01;8.35;1
2024-06-06T15:30:05.000;2024-06-06T17:30:05.000;23.2;5.01;8.51;1
2024-06-06T15:35:05.000;2024-06-06T17:35:05.000;23.2;5.01;8.21;1
2024-06-06T15:40:05.000;2024-06-06T17:40:05.000;23.2;5.03;8.37;1
2024-06-06T15:45:05.000;2024-06-06T17:45:05.000;23.2;5.01;8.62;1
2024-06-06T15:50:05.000;2024-06-06T17:50:05.000;23.2;5.01;8.86;1
2024-06-06T15:55:05.000;2024-06-06T17:55:05.000;23.2;5.03;8.48;1
2024-06-06T16:00:05.000;2024-06-06T18:00:05.000;23.2;5.01;8.42;1
2024-06-06T16:05:05.000;2024-06-06T18:05:05.000;23.2;5.03;8.87;1
2024-06-06T16:10:05.000;2024-06-06T18:10:05.000;23.2;5.01;8.92;1
