# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: Hou
# Data supplier: piet Langeland
# Location name: hos Allan
# Position (lat, lon, elev(m)): 55.1599647718415, 10.9471711248898, 0
# Local timezone: CET
# Time Synchronization: 
# Moving / Stationary position: 
# Moving / Fixed look direction: 
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 7107
# SQM hardware identity: 003BNCH
# SQM firmware version: 4-6-82
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000006,00000082,00007107
# SQM readout test rx (Reading): r, 13.79m,0000000290Hz,0000000000c,0000000.000s, 022.2C
# SQM readout test cx (Calibration): c,00000019.94m,0000196.912s, 018.0C,00000008.71m, 018.0C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 5470317
# DL retrieved at (UTC): 2025-08-10T13:35:16.268
# DL trigger mode : Every x minutes (power save mode)
# DL trigger seconds : 5
# DL trigger minutes : 5
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.358
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2024-11-08T14:12:16.000;2024-11-08T15:12:16.000;18.6;4.88;11.28;0
2024-11-08T14:17:05.000;2024-11-08T15:17:05.000;17.4;4.88;13.01;1
2024-11-08T14:22:05.000;2024-11-08T15:22:05.000;17.0;4.88;13.42;1
2024-11-08T14:27:05.000;2024-11-08T15:27:05.000;16.7;4.88;13.71;1
2024-11-08T14:32:05.000;2024-11-08T15:32:05.000;16.4;4.88;13.21;1
2024-11-08T14:37:05.000;2024-11-08T15:37:05.000;16.1;4.88;13.78;1
2024-11-08T14:42:05.000;2024-11-08T15:42:05.000;15.7;4.88;14.28;1
2024-11-08T14:47:05.000;2024-11-08T15:47:05.000;15.7;4.88;14.42;1
2024-11-08T14:52:05.000;2024-11-08T15:52:05.000;15.4;4.88;14.24;1
2024-11-08T14:57:05.000;2024-11-08T15:57:05.000;15.4;4.88;14.13;1
2024-11-08T15:02:05.000;2024-11-08T16:02:05.000;15.4;4.88;14.72;1
2024-11-08T15:07:05.000;2024-11-08T16:07:05.000;15.1;4.88;15.14;1
2024-11-08T15:12:05.000;2024-11-08T16:12:05.000;15.1;4.87;13.49;1
2024-11-08T15:17:05.000;2024-11-08T16:17:05.000;15.1;4.88;20.60;1
2024-11-08T15:22:05.000;2024-11-08T16:22:05.000;15.1;4.87;19.86;1
2024-11-08T15:27:05.000;2024-11-08T16:27:05.000;14.8;4.87;20.49;1
2024-11-08T15:31:41.000;2024-11-08T16:31:41.000;13.8;4.85;9.50;0
2024-11-08T15:32:05.000;2024-11-08T16:32:05.000;13.5;4.86;9.32;1
2024-11-08T15:37:05.000;2024-11-08T16:37:05.000;10.9;4.86;9.15;1
2024-11-08T15:42:05.000;2024-11-08T16:42:05.000;9.6;4.85;9.58;1
2024-11-08T15:47:05.000;2024-11-08T16:47:05.000;8.7;4.83;10.10;1
2024-11-08T15:52:05.000;2024-11-08T16:52:05.000;8.0;4.83;11.74;1
2024-11-08T15:57:05.000;2024-11-08T16:57:05.000;7.4;4.81;12.76;1
2024-11-08T16:02:05.000;2024-11-08T17:02:05.000;7.0;4.79;13.64;1
2024-11-08T16:07:05.000;2024-11-08T17:07:05.000;6.7;4.78;14.44;1
2024-11-08T16:12:05.000;2024-11-08T17:12:05.000;6.4;4.77;15.31;1
2024-11-08T16:17:05.000;2024-11-08T17:17:05.000;6.4;4.76;15.78;1
2024-11-08T16:22:05.000;2024-11-08T17:22:05.000;6.1;4.73;16.68;1
2024-11-08T16:27:05.000;2024-11-08T17:27:05.000;6.1;4.72;17.28;1
2024-11-08T16:32:05.000;2024-11-08T17:32:05.000;5.8;4.70;17.96;1
2024-11-08T16:37:05.000;2024-11-08T17:37:05.000;5.8;4.69;18.78;1
2024-11-08T16:42:05.000;2024-11-08T17:42:05.000;5.8;4.68;19.55;1
2024-11-08T16:47:05.000;2024-11-08T17:47:05.000;5.4;4.66;20.16;1
2024-11-08T16:52:05.000;2024-11-08T17:52:05.000;5.4;4.65;20.50;1
2024-11-08T16:57:06.000;2024-11-08T17:57:06.000;5.4;4.63;20.80;1
2024-11-08T17:02:06.000;2024-11-08T18:02:06.000;5.4;4.61;20.82;1
2024-11-08T17:07:08.000;2024-11-08T18:07:08.000;5.4;4.56;21.06;1
2024-11-08T17:12:08.000;2024-11-08T18:12:08.000;5.4;4.54;21.03;1
2024-11-08T17:17:06.000;2024-11-08T18:17:06.000;5.4;4.57;20.82;1
2024-11-08T17:22:07.000;2024-11-08T18:22:07.000;5.4;4.54;20.91;1
2024-11-08T17:27:06.000;2024-11-08T18:27:06.000;5.4;4.55;20.79;1
2024-11-08T17:32:05.000;2024-11-08T18:32:05.000;5.4;4.57;20.76;1
2024-11-08T17:37:08.000;2024-11-08T18:37:08.000;5.4;4.50;21.09;1
2024-11-08T17:42:06.000;2024-11-08T18:42:06.000;5.4;4.54;20.83;1
2024-11-08T17:47:07.000;2024-11-08T18:47:07.000;5.1;4.50;20.97;1
2024-11-08T17:52:07.000;2024-11-08T18:52:07.000;5.1;4.48;20.96;1
2024-11-08T17:57:08.000;2024-11-08T18:57:08.000;5.1;4.45;21.04;1
2024-11-08T18:02:07.000;2024-11-08T19:02:07.000;5.1;4.46;21.03;1
2024-11-08T18:07:08.000;2024-11-08T19:07:08.000;5.1;4.43;21.04;1
2024-11-08T18:12:08.000;2024-11-08T19:12:08.000;5.1;4.42;21.12;1
2024-11-08T18:17:07.000;2024-11-08T19:17:07.000;5.1;4.43;21.03;1
2024-11-08T18:22:07.000;2024-11-08T19:22:07.000;4.8;4.42;20.99;1
2024-11-08T18:27:06.000;2024-11-08T19:27:06.000;4.8;4.45;20.92;1
2024-11-08T18:32:08.000;2024-11-08T19:32:08.000;4.8;4.39;21.13;1
2024-11-08T18:37:07.000;2024-11-08T19:37:07.000;4.8;4.41;21.03;1
2024-11-08T18:42:07.000;2024-11-08T19:42:07.000;4.8;4.39;20.97;1
2024-11-08T18:47:06.000;2024-11-08T19:47:06.000;4.8;4.42;21.20;1
2024-11-08T18:52:08.000;2024-11-08T19:52:08.000;4.8;4.37;21.09;1
2024-11-08T18:57:08.000;2024-11-08T19:57:08.000;4.5;4.36;21.12;1
2024-11-08T19:02:08.000;2024-11-08T20:02:08.000;4.8;4.36;21.06;1
2024-11-08T19:07:06.000;2024-11-08T20:07:06.000;4.5;4.38;21.20;1
2024-11-08T19:12:07.000;2024-11-08T20:12:07.000;4.5;4.36;21.29;1
2024-11-08T19:17:08.000;2024-11-08T20:17:08.000;4.5;4.33;21.12;1
2024-11-08T19:22:08.000;2024-11-08T20:22:08.000;4.8;4.33;21.45;1
2024-11-08T19:27:06.000;2024-11-08T20:27:06.000;4.8;4.37;21.22;1
2024-11-08T19:32:09.000;2024-11-08T20:32:09.000;4.8;4.30;21.50;1
2024-11-08T19:37:11.000;2024-11-08T20:37:11.000;4.8;4.25;21.64;1
2024-11-08T19:42:11.000;2024-11-08T20:42:11.000;4.8;4.25;21.64;1
2024-11-08T19:47:11.000;2024-11-08T20:47:11.000;4.8;4.24;21.64;1
2024-11-08T19:52:11.000;2024-11-08T20:52:11.000;4.8;4.24;21.67;1
2024-11-08T19:57:10.000;2024-11-08T20:57:10.000;4.8;4.24;21.61;1
