# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: Karskov
# Data supplier: DSL
# Location name: Karskov
# Position (lat, lon, elev(m)): 55.02, 10.86, 7
# Local timezone: CET
# Time Synchronization: EUROPE/BERLIN
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 7109
# SQM hardware identity: 003BNCX
# SQM firmware version: 4-6-82
# SQM cover offset value: -0.01
# SQM readout test ix (Information): i,00000004,00000006,00000082,00007109
# SQM readout test rx (Reading): r, 11.47m,0000002427Hz,0000000000c,0000000.000s, 010.9C
# SQM readout test cx (Calibration): c,00000019.93m,0000167.535s, 019.3C,00000008.71m, 018.6C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 1
# DL retrieved at (UTC): 2025-02-06T16:34:38.524
# DL trigger mode : Every x minutes (power save mode)
# DL trigger seconds : 0
# DL trigger minutes : 5
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.358
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2024-12-21T14:49:33.000;2024-12-21T15:49:33.000;17.7;5.06;11.19;0
2024-12-21T14:50:36.000;2024-12-21T15:50:36.000;17.7;4.92;14.43;0
2024-12-21T14:51:05.000;2024-12-21T15:51:05.000;17.7;4.92;13.19;1
2024-12-21T14:56:05.000;2024-12-21T15:56:05.000;16.4;4.92;16.29;1
2024-12-21T15:01:05.000;2024-12-21T16:01:05.000;15.4;4.92;17.38;1
2024-12-21T15:06:05.000;2024-12-21T16:06:05.000;15.1;4.92;17.74;1
2024-12-21T15:11:05.000;2024-12-21T16:11:05.000;14.8;4.92;18.48;1
2024-12-21T15:16:05.000;2024-12-21T16:16:05.000;14.8;4.92;19.35;1
2024-12-21T15:21:05.000;2024-12-21T16:21:05.000;14.5;4.92;20.41;1
2024-12-21T15:26:06.000;2024-12-21T16:26:06.000;14.1;4.92;20.75;1
2024-12-21T15:31:05.000;2024-12-21T16:31:05.000;13.8;4.92;19.89;1
2024-12-21T15:36:05.000;2024-12-21T16:36:05.000;13.2;4.92;18.80;1
2024-12-21T15:41:05.000;2024-12-21T16:41:05.000;13.2;4.92;18.06;1
2024-12-21T15:46:07.000;2024-12-21T16:46:07.000;13.5;4.92;17.03;1
2024-12-21T15:51:05.000;2024-12-21T16:51:05.000;13.8;4.92;16.07;1
2024-12-21T15:56:05.000;2024-12-21T16:56:05.000;14.1;4.92;16.34;1
2024-12-21T16:01:05.000;2024-12-21T17:01:05.000;14.5;4.92;15.62;1
2024-12-21T16:06:19.000;2024-12-21T17:06:19.000;14.8;4.92;22.42;1
2024-12-21T16:11:21.000;2024-12-21T17:11:21.000;15.1;4.92;22.50;1
2024-12-21T16:16:20.000;2024-12-21T17:16:20.000;15.1;4.92;22.49;1
2024-12-21T16:21:19.000;2024-12-21T17:21:19.000;15.4;4.92;22.12;1
2024-12-21T16:26:07.000;2024-12-21T17:26:07.000;15.4;4.92;18.53;1
2024-12-21T16:31:14.000;2024-12-21T17:31:14.000;15.7;4.92;22.14;1
2024-12-21T16:36:22.000;2024-12-21T17:36:22.000;15.7;4.92;22.47;1
2024-12-21T16:41:11.000;2024-12-21T17:41:11.000;16.1;4.92;21.78;1
2024-12-21T16:46:14.000;2024-12-21T17:46:14.000;16.1;4.92;22.13;1
2024-12-21T16:51:05.000;2024-12-21T17:51:05.000;16.4;4.92;17.76;1
2024-12-21T16:56:05.000;2024-12-21T17:56:05.000;16.4;4.92;15.75;1
2024-12-21T17:01:25.000;2024-12-21T18:01:25.000;16.7;4.92;22.68;1
2024-12-21T17:06:05.000;2024-12-21T18:06:05.000;16.4;4.92;18.06;1
2024-12-21T17:11:09.000;2024-12-21T18:11:09.000;16.4;4.92;19.58;1
2024-12-21T17:16:05.000;2024-12-21T18:16:05.000;16.4;4.92;18.47;1
2024-12-21T17:21:05.000;2024-12-21T18:21:05.000;16.4;4.92;19.22;1
2024-12-21T17:26:05.000;2024-12-21T18:26:05.000;16.4;4.92;15.25;1
2024-12-21T17:31:05.000;2024-12-21T18:31:05.000;16.4;4.92;15.02;1
2024-12-21T17:36:15.000;2024-12-21T18:36:15.000;16.1;4.92;22.19;1
2024-12-21T17:41:15.000;2024-12-21T18:41:15.000;16.4;4.92;22.17;1
2024-12-21T17:46:15.000;2024-12-21T18:46:15.000;16.7;4.92;22.18;1
2024-12-21T17:51:05.000;2024-12-21T18:51:05.000;16.7;4.92;15.06;1
2024-12-21T17:57:00.000;2024-12-21T18:57:00.000;16.4;4.92;24.29;1
2024-12-21T18:02:05.000;2024-12-21T19:02:05.000;15.1;4.92;19.92;1
2024-12-21T18:07:05.000;2024-12-21T19:07:05.000;14.8;4.92;19.19;1
2024-12-21T18:12:05.000;2024-12-21T19:12:05.000;15.4;4.92;14.49;1
