# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 42
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: 
# Data supplier: DSL
# Location name: Skovsgård
# Position (lat, lon, elev(m)): 
# Local timezone: CET
# Time Synchronization: 
# Moving / Stationary position: 
# Moving / Fixed look direction: 
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 7115
# SQM hardware identity: B003BNDC
# SQM firmware version: 4-6-82
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000006,00000082,00007115
# SQM readout test rx (Reading): r, 07.72m,0000075720Hz,0000000000c,0000000.000s, 018.6C
# SQM readout test cx (Calibration): c,00000019.91m,0000274.655s, 018.6C,00000008.71m, 018.6C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): -1
# DL retrieved at (UTC): 2024-09-13T15:15:45.642
# DL trigger seconds : 0
# DL trigger minutes : 5
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.344
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2024-08-15T08:19:06.000;2024-08-15T10:19:06.000;24.4;5.09;8.52;0
2024-08-15T08:20:05.000;2024-08-15T10:20:05.000;24.4;5.08;8.63;1
2024-08-15T08:29:41.000;2024-08-15T10:29:41.000;24.1;5.08;9.29;1
2024-08-15T08:30:05.000;2024-08-15T10:30:05.000;24.8;5.09;9.30;1
2024-08-15T08:35:05.000;2024-08-15T10:35:05.000;24.1;5.09;9.20;1
2024-08-15T08:40:05.000;2024-08-15T10:40:05.000;24.1;5.09;9.03;1
2024-08-15T08:45:05.000;2024-08-15T10:45:05.000;24.4;5.08;8.60;1
2024-08-15T08:50:05.000;2024-08-15T10:50:05.000;24.1;5.09;8.67;1
2024-08-15T08:55:05.000;2024-08-15T10:55:05.000;24.1;5.09;8.17;1
2024-08-15T09:00:05.000;2024-08-15T11:00:05.000;24.4;5.09;7.97;1
2024-08-15T09:05:05.000;2024-08-15T11:05:05.000;24.8;5.09;7.77;1
2024-08-15T09:10:05.000;2024-08-15T11:10:05.000;24.4;5.08;7.69;1
2024-08-15T09:15:05.000;2024-08-15T11:15:05.000;24.8;5.09;7.62;1
2024-08-15T09:20:05.000;2024-08-15T11:20:05.000;24.8;5.09;7.62;1
2024-08-15T09:25:05.000;2024-08-15T11:25:05.000;24.8;5.09;7.85;1
2024-08-15T09:30:05.000;2024-08-15T11:30:05.000;25.1;5.09;8.05;1
2024-08-15T09:35:05.000;2024-08-15T11:35:05.000;25.1;5.08;8.21;1
2024-08-15T09:40:05.000;2024-08-15T11:40:05.000;25.1;5.09;8.22;1
2024-08-15T09:45:05.000;2024-08-15T11:45:05.000;25.1;5.09;8.49;1
2024-08-15T09:50:05.000;2024-08-15T11:50:05.000;25.1;5.08;8.36;1
2024-08-15T09:55:05.000;2024-08-15T11:55:05.000;25.1;5.09;8.39;1
2024-08-15T10:00:05.000;2024-08-15T12:00:05.000;25.1;5.08;8.28;1
2024-08-15T10:05:05.000;2024-08-15T12:05:05.000;25.1;5.08;8.01;1
