# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 42
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: 
# Data supplier: DSL
# Location name: gulstav
# Position (lat, lon, elev(m)): 
# Local timezone: CET
# Time Synchronization: 
# Moving / Stationary position: 
# Moving / Fixed look direction: 
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 7118
# SQM hardware identity: B003BNCW
# SQM firmware version: 4-6-82
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000006,00000082,00007118
# SQM readout test rx (Reading): r, 12.57m,0000000899Hz,0000000000c,0000000.000s, 018.3C
# SQM readout test cx (Calibration): c,00000019.95m,0000183.583s, 019.0C,00000008.71m, 019.0C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 0
# DL retrieved at (UTC): 2024-10-06T19:45:03.308
# DL trigger seconds : 0
# DL trigger minutes : 5
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.344
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2000-01-01T00:00:00.000;2000-01-01T01:00:00.000;24.4;5.17;9.08;0
2000-01-01T00:05:05.000;2000-01-01T01:05:05.000;20.6;5.04;9.05;1
2000-01-01T00:10:05.000;2000-01-01T01:10:05.000;20.6;5.04;8.96;1
2000-01-01T00:13:31.000;2000-01-01T01:13:31.000;20.3;5.04;9.43;1
2000-01-01T00:15:05.000;2000-01-01T01:15:05.000;20.3;5.04;8.06;1
2000-01-01T00:20:05.000;2000-01-01T01:20:05.000;20.3;5.04;9.58;1
2000-01-01T00:25:05.000;2000-01-01T01:25:05.000;20.3;5.04;9.43;1
2000-01-01T00:28:38.000;2000-01-01T01:28:38.000;20.6;5.04;9.37;1
2000-01-01T00:30:05.000;2000-01-01T01:30:05.000;20.3;5.04;9.30;1
2000-01-01T00:35:05.000;2000-01-01T01:35:05.000;20.6;5.04;9.15;1
2024-09-02T10:15:05.000;2024-09-02T12:15:05.000;20.9;4.91;0.00;1
2024-09-02T10:20:05.000;2024-09-02T12:20:05.000;20.3;4.91;9.62;1
2024-09-02T10:25:05.000;2024-09-02T12:25:05.000;20.3;4.90;9.86;1
2024-09-02T10:30:05.000;2024-09-02T12:30:05.000;20.3;4.91;9.50;1
2024-09-02T10:35:05.000;2024-09-02T12:35:05.000;20.3;4.91;9.19;1
2024-09-02T10:40:05.000;2024-09-02T12:40:05.000;20.3;4.91;7.71;1
2024-09-02T10:45:05.000;2024-09-02T12:45:05.000;20.6;4.91;7.67;1
2024-09-02T10:50:05.000;2024-09-02T12:50:05.000;20.3;4.91;10.84;1
2024-09-02T10:55:05.000;2024-09-02T12:55:05.000;20.3;4.91;10.23;1
2024-09-02T11:00:05.000;2024-09-02T13:00:05.000;20.6;4.91;10.42;1
2024-09-02T11:05:05.000;2024-09-02T13:05:05.000;20.9;4.91;6.88;1
2024-09-02T11:10:05.000;2024-09-02T13:10:05.000;20.6;4.91;9.98;1
2024-09-02T11:15:05.000;2024-09-02T13:15:05.000;20.6;4.91;9.78;1
2024-09-02T11:20:05.000;2024-09-02T13:20:05.000;20.9;4.91;8.73;1
2024-09-02T11:25:05.000;2024-09-02T13:25:05.000;20.9;4.91;8.67;1
2024-09-02T11:30:05.000;2024-09-02T13:30:05.000;21.2;4.91;8.66;1
2024-09-02T11:35:05.000;2024-09-02T13:35:05.000;21.5;4.91;8.67;1
2024-09-02T11:40:05.000;2024-09-02T13:40:05.000;21.5;4.91;8.69;1
2024-09-02T11:45:05.000;2024-09-02T13:45:05.000;22.2;4.91;8.77;1
2024-09-02T11:50:05.000;2024-09-02T13:50:05.000;22.2;4.91;8.83;1
2024-09-02T11:55:05.000;2024-09-02T13:55:05.000;22.5;4.91;10.46;1
2024-09-02T12:00:05.000;2024-09-02T14:00:05.000;22.8;4.91;10.69;1
2024-09-02T12:05:05.000;2024-09-02T14:05:05.000;22.8;4.91;10.54;1
2024-09-02T12:10:05.000;2024-09-02T14:10:05.000;22.5;4.91;11.80;1
2024-09-02T12:15:05.000;2024-09-02T14:15:05.000;22.5;4.91;10.93;1
2024-09-02T12:20:05.000;2024-09-02T14:20:05.000;22.5;4.91;10.44;1
2024-09-02T12:25:05.000;2024-09-02T14:25:05.000;22.5;4.91;10.32;1
2024-09-02T12:30:05.000;2024-09-02T14:30:05.000;22.5;4.91;10.27;1
2024-09-02T12:35:05.000;2024-09-02T14:35:05.000;22.5;4.91;10.41;1
2024-09-02T12:40:05.000;2024-09-02T14:40:05.000;22.8;4.91;10.56;1
2024-09-02T12:45:05.000;2024-09-02T14:45:05.000;22.5;4.91;10.39;1
2024-09-02T12:50:05.000;2024-09-02T14:50:05.000;22.5;4.91;11.02;1
2024-09-02T12:55:05.000;2024-09-02T14:55:05.000;22.5;4.91;11.14;1
2024-09-02T13:00:05.000;2024-09-02T15:00:05.000;22.8;4.91;11.21;1
2024-09-02T13:05:05.000;2024-09-02T15:05:05.000;22.8;4.91;11.11;1
2024-09-02T13:10:05.000;2024-09-02T15:10:05.000;23.2;4.91;11.32;1
2024-09-02T13:15:05.000;2024-09-02T15:15:05.000;23.2;4.91;11.31;1
2024-09-02T13:20:05.000;2024-09-02T15:20:05.000;23.2;4.91;10.74;1
2024-09-02T13:25:05.000;2024-09-02T15:25:05.000;23.2;4.91;10.59;1
2024-09-02T13:30:05.000;2024-09-02T15:30:05.000;23.2;4.91;10.77;1
2024-09-02T13:35:05.000;2024-09-02T15:35:05.000;23.2;4.91;10.92;1
2024-09-02T13:40:05.000;2024-09-02T15:40:05.000;23.2;4.91;11.34;1
2024-09-02T13:45:05.000;2024-09-02T15:45:05.000;22.8;4.91;11.81;1
2024-09-02T13:50:05.000;2024-09-02T15:50:05.000;22.8;4.91;12.37;1
2024-09-02T13:55:05.000;2024-09-02T15:55:05.000;22.5;4.91;10.72;1
2024-09-02T14:00:05.000;2024-09-02T16:00:05.000;22.5;4.91;11.07;1
2024-09-02T14:05:05.000;2024-09-02T16:05:05.000;22.2;4.91;10.91;1
2024-09-02T14:10:05.000;2024-09-02T16:10:05.000;21.9;4.91;10.84;1
2024-09-02T14:15:05.000;2024-09-02T16:15:05.000;21.9;4.91;10.94;1
2024-09-02T14:20:05.000;2024-09-02T16:20:05.000;21.5;4.91;11.71;1
2024-09-02T14:25:05.000;2024-09-02T16:25:05.000;21.5;4.91;11.85;1
2024-09-02T14:30:05.000;2024-09-02T16:30:05.000;21.5;4.91;11.17;1
2024-09-02T14:45:05.000;2024-09-02T16:45:05.000;22.8;4.91;0.00;1
2024-09-02T14:50:05.000;2024-09-02T16:50:05.000;23.5;4.91;0.00;1
2024-09-02T14:55:05.000;2024-09-02T16:55:05.000;23.5;4.91;0.00;1
2024-09-02T15:00:05.000;2024-09-02T17:00:05.000;23.2;4.91;0.00;1
2024-09-02T15:05:05.000;2024-09-02T17:05:05.000;23.2;4.91;0.00;1
2024-09-02T15:10:05.000;2024-09-02T17:10:05.000;23.5;4.91;0.00;1
2024-09-02T15:15:05.000;2024-09-02T17:15:05.000;22.8;4.91;0.00;1
2024-09-02T15:20:05.000;2024-09-02T17:20:05.000;22.2;4.91;0.00;1
2024-09-02T15:25:05.000;2024-09-02T17:25:05.000;20.9;4.91;0.00;1
2024-09-02T15:30:05.000;2024-09-02T17:30:05.000;20.3;4.91;0.00;1
2024-09-02T15:35:05.000;2024-09-02T17:35:05.000;19.9;4.91;0.00;1
2024-09-02T15:40:05.000;2024-09-02T17:40:05.000;19.3;4.91;0.00;1
2024-09-02T15:45:05.000;2024-09-02T17:45:05.000;19.0;4.91;0.00;1
2024-09-02T15:50:05.000;2024-09-02T17:50:05.000;19.0;4.91;0.00;1
2024-09-02T15:55:05.000;2024-09-02T17:55:05.000;18.3;4.90;0.00;1
2024-09-02T16:00:05.000;2024-09-02T18:00:05.000;18.3;4.91;0.00;1
2024-09-02T16:05:05.000;2024-09-02T18:05:05.000;18.3;4.91;0.00;1
2024-09-02T16:10:05.000;2024-09-02T18:10:05.000;18.0;4.91;0.00;1
2024-09-02T16:15:05.000;2024-09-02T18:15:05.000;18.3;4.90;0.00;1
2024-09-02T16:20:05.000;2024-09-02T18:20:05.000;17.4;4.91;0.00;1
2024-09-02T16:25:05.000;2024-09-02T18:25:05.000;18.0;4.91;0.00;1
2024-09-02T16:30:05.000;2024-09-02T18:30:05.000;18.0;4.91;0.00;1
2024-09-02T16:35:05.000;2024-09-02T18:35:05.000;17.7;4.91;0.00;1
2024-09-02T16:40:05.000;2024-09-02T18:40:05.000;17.7;4.91;0.00;1
2024-09-02T16:45:05.000;2024-09-02T18:45:05.000;17.4;4.91;0.00;1
2024-09-02T16:50:05.000;2024-09-02T18:50:05.000;17.0;4.91;0.00;1
2024-09-02T16:55:05.000;2024-09-02T18:55:05.000;17.0;4.91;0.00;1
2024-09-02T17:00:05.000;2024-09-02T19:00:05.000;17.4;4.91;0.00;1
2024-09-02T17:05:05.000;2024-09-02T19:05:05.000;17.0;4.90;0.00;1
2024-09-02T17:10:05.000;2024-09-02T19:10:05.000;16.7;4.91;0.00;1
2024-09-02T17:15:05.000;2024-09-02T19:15:05.000;16.7;4.91;0.00;1
2024-09-02T17:20:05.000;2024-09-02T19:20:05.000;17.0;4.91;0.00;1
2024-09-02T17:25:05.000;2024-09-02T19:25:05.000;16.4;4.91;0.00;1
2024-09-02T17:30:05.000;2024-09-02T19:30:05.000;16.4;4.91;0.00;1
2024-09-02T17:35:05.000;2024-09-02T19:35:05.000;16.1;4.90;5.96;1
2024-09-02T17:40:05.000;2024-09-02T19:40:05.000;16.1;4.91;6.19;1
2024-09-02T17:45:05.000;2024-09-02T19:45:05.000;15.7;4.90;6.42;1
2024-09-02T17:50:05.000;2024-09-02T19:50:05.000;16.1;4.91;6.72;1
2024-09-02T17:55:05.000;2024-09-02T19:55:05.000;16.1;4.91;7.01;1
2024-09-02T18:00:05.000;2024-09-02T20:00:05.000;15.4;4.90;7.34;1
2024-09-02T18:05:05.000;2024-09-02T20:05:05.000;15.4;4.91;7.73;1
2024-09-02T18:10:05.000;2024-09-02T20:10:05.000;15.4;4.90;8.14;1
2024-09-02T18:15:05.000;2024-09-02T20:15:05.000;15.7;4.90;8.63;1
2024-09-02T18:20:05.000;2024-09-02T20:20:05.000;15.4;4.91;9.32;1
2024-09-02T18:25:05.000;2024-09-02T20:25:05.000;15.4;4.91;10.08;1
2024-09-02T18:30:05.000;2024-09-02T20:30:05.000;15.4;4.90;10.90;1
2024-09-02T18:35:05.000;2024-09-02T20:35:05.000;15.4;4.91;11.74;1
2024-09-02T18:40:05.000;2024-09-02T20:40:05.000;15.4;4.90;12.56;1
2024-09-02T18:45:05.000;2024-09-02T20:45:05.000;15.4;4.91;13.39;1
2024-09-02T18:50:05.000;2024-09-02T20:50:05.000;15.4;4.91;14.29;1
2024-09-02T18:55:05.000;2024-09-02T20:55:05.000;15.4;4.91;15.20;1
2024-09-02T19:00:05.000;2024-09-02T21:00:05.000;15.4;4.91;16.00;1
2024-09-02T19:05:05.000;2024-09-02T21:05:05.000;15.4;4.91;16.76;1
2024-09-02T19:10:05.000;2024-09-02T21:10:05.000;15.4;4.90;17.41;1
2024-09-02T19:15:05.000;2024-09-02T21:15:05.000;15.4;4.91;18.03;1
2024-09-02T19:20:05.000;2024-09-02T21:20:05.000;15.4;4.91;18.63;1
2024-09-02T19:25:05.000;2024-09-02T21:25:05.000;15.4;4.90;19.21;1
2024-09-02T19:30:05.000;2024-09-02T21:30:05.000;15.4;4.91;19.68;1
2024-09-02T19:35:05.000;2024-09-02T21:35:05.000;15.4;4.91;20.10;1
2024-09-02T19:40:05.000;2024-09-02T21:40:05.000;15.4;4.90;20.47;1
2024-09-02T19:45:06.000;2024-09-02T21:45:06.000;15.4;4.90;20.75;1
